"start_station_name","lat","lng","total_trips"
"Franklin St & Chicago Ave","41.8967651484926445","-87.6357042637279509","14343"
"Clark St & Randolph St","41.8845894627890396","-87.6318027661750315","14306"
"Canal St & Jackson Blvd","41.8772867095044446","-87.6394266024686778","14287"
"Southport Ave & Wellington Ave","41.9357651236713582","-87.6635973852857143","14210"
"Lincoln Ave & Diversey Pkwy","41.9321980793156999","-87.6586814522557084","14102"
"Sheffield Ave & Kingsbury St","41.9105543325159733","-87.6531584337292347","14086"
"Wabash Ave & 9th St","41.8707457172875653","-87.6257394932020903","13969"
"Franklin St & Illinois St","41.8910215820961387","-87.6354620988222652","13959"
"Mies van der Rohe Way & Chicago Ave","41.8970089607121256","-87.6217618166510657","13888"
"Mies van der Rohe Way & Chestnut St","41.8985692884294664","-87.6220636584316267","13887"
"Burling St & Diversey Pkwy","41.9331077792970669","-87.6477520075675480","13842"
"Desplaines St & Jackson Blvd","41.8781297273946969","-87.6440311238985622","13841"
"Racine Ave & Belmont Ave","41.9396972922246648","-87.6588673853843336","13647"
"Clark St & Grace St","41.9508108355237045","-87.6591900576530687","13605"
"Wood St & Milwaukee Ave","41.9076266425103458","-87.6725179825960686","13532"
"May St & Taylor St","41.8694803665739984","-87.6554842450739612","13453"
"Ogden Ave & Chicago Ave","41.8963619929835422","-87.6540681193764155","13246"
"Kedzie Ave & Milwaukee Ave","41.9295789865047874","-87.7079076568739946","13055"
"Cityfront Plaza Dr & Pioneer Ct","41.8905190065121516","-87.6220726388368662","12879"
"Honore St & Division St","41.9031184817207919","-87.6738748977517803","12779"
"900 W Harrison St","41.8747609430670325","-87.6498178828435907","12755"
"Milwaukee Ave & Wabansia Ave","41.9126174085083176","-87.6814001985922787","12744"
"Calumet Ave & 33rd St","41.8348943661519127","-87.6179315230814547","12731"
"Lincoln Park Conservatory","41.9239790127626306","-87.6358555278698829","12727"
"Wabash Ave & Wacker Pl","41.8868595476590891","-87.6260825766577519","12713"
"Sangamon St & Lake St","41.8858278256606051","-87.6510532018941101","12428"
"Clark St & Berwyn Ave","41.9779972449024212","-87.6682822152036602","12349"
"Dayton St & North Ave","41.9105886959686587","-87.6494253109280611","12316"
"Southport Ave & Belmont Ave","41.9394414229295477","-87.6637694245354702","12292"
"Michigan Ave & Jackson Blvd","41.8780783647319177","-87.6241215421462859","12291"
"Michigan Ave & 14th St","41.8641284909062551","-87.6237372061853554","12182"
"Field Blvd & South Water St","41.8862908196949013","-87.6175065158067434","12160"
"Lakefront Trail & Bryn Mawr Ave","41.9840129542698387","-87.6522964489117550","12148"
"Clark St & North Ave","41.9119657394376084","-87.6319795312577422","12109"
"Wells St & Walton St","41.8999404202447377","-87.6344385246057467","11972"
"California Ave & Milwaukee Ave","41.9226847572220826","-87.6971421495199799","11937"
"Broadway & Wilson Ave","41.9651995207069170","-87.6582450591577879","11826"
"Southport Ave & Wrightwood Ave","41.9287811713116003","-87.6638857110016935","11810"
"Greenview Ave & Fullerton Ave","41.9253664327487869","-87.6658159341585086","11747"
"LaSalle Dr & Huron St","41.8948336689133602","-87.6323422791044648","11669"
"Carpenter St & Huron St","41.8945555025746947","-87.6534551152948818","11547"
"Clarendon Ave & Junior Ter","41.9609812926413619","-87.6495617762468514","11513"
"Larrabee St & Division St","41.9034989603267689","-87.6433451937051237","11476"
"Damen Ave & Cortland St","41.9159810973928351","-87.6773127558683215","11361"
"Ritchie Ct & Banks St","41.9068490563382392","-87.6262034373622984","11347"
"Sheridan Rd & Buena Ave","41.9584727142281999","-87.6550036909201033","11227"
"Clark St & Chicago Ave","41.8967187944543989","-87.6308822365373589","11162"
"Aberdeen St & Randolph St","41.8841313001223352","-87.6542750173940811","11117"
"Stetson Ave & South Water St","41.8867473325956062","-87.6222937945158666","11061"
"Halsted St & Maxwell St","41.8648799053665042","-87.6470714320693461","10873"
"Shore Dr & 55th St","41.7952310125530529","-87.5807850343224125","10744"
"Clifton Ave & Armitage Ave","41.9182125963027087","-87.6569804273191846","10743"
"Halsted St & Willow St","41.9138464902144322","-87.6487782739921686","10726"
"Woodlawn Ave & 55th St","41.7952901700335758","-87.5964793551678791","10722"
"Desplaines St & Randolph St","41.8842297587594127","-87.6444334077720256","10624"
"Field Museum","41.8653264386811635","-87.6179345829652640","10623"
"Financial Pl & Ida B Wells Dr","41.8750286478561301","-87.6331132346639569","10579"
"Wacker Dr & Washington St","41.8831735500294397","-87.6373080905887939","10530"
"Wells St & Polk St","41.8727657120420650","-87.6336730620372849","10460"
"Franklin St & Adams St (Temp)","41.8792854316241142","-87.6355229519551500","10301"
"Western Ave & Winnebago Ave","41.9155431269432017","-87.6870165243542112","10282"
"Rush St & Hubbard St","41.8901916220922089","-87.6262285317537205","10281"
"Clark St & Leland Ave","41.9670742218843683","-87.6673801436957368","10274"
"Michigan Ave & Madison St","41.8820679131157853","-87.6251457713908001","10174"
"Damen Ave & Chicago Ave","41.8956902891162240","-87.6771494753105559","10127"
"Aberdeen St & Monroe St","41.8804255797560012","-87.6555497286762817","10123"
"Michigan Ave & Pearson St","41.8975371973108911","-87.6235423073673267","10100"
"Wabash Ave & Adams St","41.8794839526451613","-87.6257354359632754","10075"
"Sheffield Ave & Willow St","41.9137180230041318","-87.6528534644492593","9923"
"Elston Ave & Cortland St","41.9164418652637429","-87.6667611156063056","9896"
"Jefferson St & Monroe St","41.8803577267756677","-87.6427545853376663","9847"
"State St & Van Buren St","41.8771738638781530","-87.6278873133482506","9832"
"Wolcott Ave & Polk St","41.8712902841714520","-87.6736914706901148","9752"
"Burnham Harbor","41.8574384752476072","-87.6138047928776529","9612"
"Halsted St & Roosevelt Rd","41.8673706862804491","-87.6486390045541199","9442"
"Bissell St & Armitage Ave*","41.9183561572093763","-87.6521817104656343","9428"
"Dearborn St & Adams St","41.8792585106063830","-87.6297419403914894","9400"
"State St & Pearson St","41.8974416417665884","-87.6287437077906977","9374"
"Ellis Ave & 58th St","41.7887477306427807","-87.6013088366352941","9350"
"Ogden Ave & Race Ave","41.8917873290563817","-87.6587924720370172","9347"
"Michigan Ave & 18th St","41.8578316128151170","-87.6245531380899721","9314"
"Orleans St & Chestnut St (NEXT Apts)","41.8981589759561903","-87.6375402504799742","9313"
"Clark St & Bryn Mawr Ave","41.9835597053914725","-87.6691642536376329","9311"
"Racine Ave & Congress Pkwy","41.8746494990253411","-87.6570378564847303","9234"
"Wabash Ave & 16th St","41.8603918994636847","-87.6258125572402562","9211"
"Orleans St & Hubbard St","41.8899751098096697","-87.6366454652876832","9142"
"Lake Park Ave & 56th St","41.7932546899282085","-87.5877962201259112","9054"
"Rhodes Ave & 32nd St","41.8364440982716325","-87.6134854546688225","8968"
"Eckhart Park","41.8963816637712293","-87.6609913954538297","8891"
"Larrabee St & Oak St","41.9002272074876238","-87.6429850638940144","8888"
"Broadway & Argyle St","41.9737486113686235","-87.6597433100780455","8841"
"Larrabee St & Armitage Ave","41.9180937280024997","-87.6437558535336894","8801"
"Southport Ave & Clybourn Ave","41.9207715188909195","-87.6637287581850371","8755"
"Southport Ave & Irving Park Rd","41.9541412093103448","-87.6643085273443647","8642"
"Morgan St & Lake St*","41.8855013070827506","-87.6523289371608392","8580"
"State St & Harrison St","41.8740417122886212","-87.6277296327458777","8551"
"Ashland Ave & Blackhawk St","41.9070529745980105","-87.6672318511843183","8545"
"LaSalle St & Washington St","41.8826862948339397","-87.6325131431346086","8521"
"Lakefront Trail & Wilson Ave","41.9658290908823875","-87.6453995152367524","8511"
"Damen Ave & Thomas St (Augusta Blvd)","41.9013310403915344","-87.6774185891122869","8505"
"Green St & Washington Blvd","41.8831962522299446","-87.6487479541159147","8489"
"Paulina St & Flournoy St","41.8730615276802545","-87.6690791798020735","8488"
"Calumet Ave & 18th St","41.8576538460785264","-87.6194372024697043","8252"
"Western Ave & Leland Ave","41.9664052866504441","-87.6886867634919090","8219"
"Clark St & Ida B Wells Dr","41.8759429717498175","-87.6306688314370893","8218"
"Elizabeth St & Randolph St","41.8836712871639604","-87.6590994787339763","8191"
"Racine Ave & Wrightwood Ave","41.9288935329345566","-87.6589748374446483","8175"
"Sangamon St & Washington Blvd","41.8830826001517395","-87.6511063319528744","8106"
"Damen Ave & Division St","41.9032642650924769","-87.6784606479505124","8002"
"Michigan Ave & Ida B Wells Dr","41.8762466498889450","-87.6244593084237759","7924"
"Ashland Ave & Grace St","41.9506740460157340","-87.6686904635477731","7881"
"Clark St & Montrose Ave","41.9615486494292615","-87.6661301562349053","7867"
"Larrabee St & North Ave","41.9101550767747288","-87.6434928895022336","7835"
"Broadway & Berwyn Ave","41.9783367066683745","-87.6597871172012297","7807"
"Wood St & Chicago Ave","41.8956171542846034","-87.6720963763711768","7716"
"Leavitt St & North Ave","41.9103173906480519","-87.6823555126051948","7700"
"Sheridan Rd & Argyle St","41.9732875152856767","-87.6547323064152185","7596"
"McCormick Place","41.8514169022106512","-87.6188581746361719","7586"
"Delano Ct & Roosevelt Rd","41.8674964702922035","-87.6321911814251561","7529"
"Clinton St & Roosevelt Rd","41.8671258568517535","-87.6410709883674283","7528"
"Walsh Park","41.9145771546117992","-87.6679575714995339","7509"
"Throop St & Taylor St","41.8689013454407621","-87.6591239295048974","7453"
"Ashland Ave & Wellington Ave","41.9360773897115256","-87.6698381720877499","7453"
"Broadway & Thorndale Ave","41.9897504470318213","-87.6601391912742045","7385"
"Paulina Ave & North Ave","41.9100876782921867","-87.6700108856741725","7372"
"Fairbanks St & Superior St","41.8957605035130364","-87.6201338293047257","7364"
"Ashland Ave & Augusta Blvd","41.8996293066383910","-87.6680008780448762","7309"
"Cornell Ave & Hyde Park Blvd","41.8024189349001095","-87.5869125794499179","7308"
"Marine Dr & Ainslie St","41.9715869686042304","-87.6501630635610910","7186"
"Greenview Ave & Diversey Pkwy","41.9326157016492072","-87.6659577788604190","7064"
"Broadway & Granville Ave","41.9947783776926346","-87.6602842833526912","7060"
"Wells St & Institute Pl","41.8974071865875286","-87.6344300512028032","6992"
"State St & 35th St","41.8310525914048403","-87.6268521811384792","6983"
"Winthrop Ave & Lawrence Ave","41.9688227706274396","-87.6576443257683967","6917"
"Wood St & Augusta Blvd","41.8991618291222480","-87.6721768941439745","6904"
"Clybourn Ave & Division St","41.9045961216430020","-87.6405707707678934","6902"
"Western Ave & Walton St","41.8984333612217391","-87.6865902462376812","6900"
"Lake Park Ave & 53rd St","41.7995215116722263","-87.5864259482900653","6895"
"Damen Ave & Leland Ave","41.9670947107021616","-87.6790581226882344","6893"
"Sheridan Rd & Noyes St (NU)","42.0582370719192812","-87.6774530260671675","6789"
"Lincoln Ave & Roscoe St*","41.9433346151601476","-87.6707260530597786","6775"
"Ada St & Washington Blvd","41.8828491205580159","-87.6611956908709773","6774"
"N Green St & W Lake St","41.8868710103279657","-87.6488774840094549","6769"
"Elizabeth St & Fulton St","41.8867035205230126","-87.6596059097698745","6692"
"Wood St & Taylor St (Temp)","41.8693100548758465","-87.6737145670865312","6645"
"Sheridan Rd & Lawrence Ave","41.9695042415064974","-87.6547071641341795","6618"
"Seeley Ave & Roscoe St","41.9433872092120018","-87.6796540200833460","6599"
"Broadway & Ridge Ave","41.9840386268230828","-87.6602748196780562","6585"
"Clarendon Ave & Leland Ave","41.9679533056438816","-87.6500201703616112","6554"
"Canal St & Taylor St","41.8702168046282012","-87.6394740969052761","6482"
"Western Ave & Division St","41.9029030092613197","-87.6873081006521403","6471"
"Ashland Ave & Chicago Ave","41.8959569652052037","-87.6677339548567446","6457"
"Emerald Ave & 31st St","41.8382087145919800","-87.6451275079653612","6409"
"Loomis St & Jackson Blvd","41.8779642560383587","-87.6620265751092596","6361"
"Ashland Ave & Lake St","41.8859258856373938","-87.6671710785867170","6354"
"Wolcott (Ravenswood) Ave & Montrose Ave","41.9614250422239748","-87.6762125226766562","6340"
"Orleans St & Elm St","41.9029074788804674","-87.6377241268845729","6333"
"Leavitt St & Armitage Ave","41.9177953014133206","-87.6824613411312938","6276"
"Hermitage Ave & Polk St","41.8715219347928994","-87.6698942077914601","6253"
"Logan Blvd & Elston Ave","41.9294343742822813","-87.6841531152659404","6242"
"Damen Ave & Charleston St","41.9200686333033852","-87.6779099495620087","6233"
"Racine Ave & 18th St","41.8582213438441767","-87.6564644712626506","6225"
"Campbell Ave & North Ave","41.9105252710246496","-87.6895541188545191","6207"
"Lincoln Ave & Sunnyside Ave","41.9629699881762229","-87.6848157294768384","6174"
"Dearborn St & Van Buren St","41.8762732501702059","-87.6292363933554871","6169"
"Cannon Dr & Fullerton Ave","41.9267299822930978","-87.6344404740987897","6114"
"Larrabee St & Menomonee St","41.9146739317792122","-87.6433366982803707","6042"
"Ellis Ave & 53rd St","41.7993518717459003","-87.6009687645867153","6037"
"California Ave & Cortez St","41.9003649614759536","-87.6966921423615257","6030"
"Benson Ave & Church St","42.0482206038088874","-87.6834779363498162","5986"
"Green St & Randolph St*","41.8837234303899815","-87.6484906123751891","5949"
"Clark St & 9th St (AMLI)","41.8708124350295758","-87.6311969660892344","5917"
"Damen Ave & Grand Ave","41.8924449976255088","-87.6768967398727951","5896"
"Leavitt St & Chicago Ave","41.8954779062459213","-87.6819732414545767","5823"
"Ravenswood Ave & Irving Park Rd","41.9546405624035148","-87.6739125486388697","5804"
"Humboldt Blvd & Armitage Ave","41.9175133356122271","-87.7018067580803493","5725"
"Spaulding Ave & Armitage Ave","41.9171154206909218","-87.7102131993160749","5717"
"Ashland Ave & Grand Ave","41.8910743557022573","-87.6666371721748477","5582"
"Blue Island Ave & 18th St","41.8575156308489209","-87.6615793876546763","5560"
"Western Ave & Fillmore St","41.8686203464782139","-87.6862340382535110","5554"
"Lincoln Ave & Belle Plaine Ave","41.9559718701170874","-87.6802023217343578","5466"
"Shields Ave & 31st St","41.8384608971405019","-87.6353882969170178","5459"
"Leavitt St & Division St","41.9029880143901543","-87.6837655383963997","5444"
"Paulina St & Montrose Ave","41.9614969186560029","-87.6714101697591469","5439"
"Noble St & Milwaukee Ave","41.9006808499797272","-87.6625803715978621","5426"
"Albany Ave & Bloomingdale Ave","41.9140109082292052","-87.7051396298225508","5410"
"Indiana Ave & 31st St","41.8388353092857143","-87.6218571392024426","5404"
"Ashland Ave & Wrightwood Ave","41.9288230104867666","-87.6685311086803628","5403"
"Damen Ave & Wellington Ave","41.9358675205924829","-87.6784181265469358","5401"
"Racine Ave & Washington Blvd","41.8830738323165308","-87.6570008262138621","5396"
"Museum of Science and Industry","41.7917531870635665","-87.5839567938121133","5333"
"Clinton St & Tilden St","41.8758756516005316","-87.6407635176001519","5267"
"Lincoln Ave & Melrose St","41.9405858535066436","-87.6694881587078760","5193"
"Artesian Ave & Hubbard St","41.8895301830899634","-87.6881681003486804","5191"
"Morgan St & 18th St","41.8581004478683143","-87.6511049467947480","5179"
"Sedgwick St & Schiller St","41.9076231529835112","-87.6385313897419981","5155"
"Racine Ave & Randolph St","41.8840846500582411","-87.6568924637119006","5151"
"LaSalle St & Adams St","41.8794021247517040","-87.6319680973924051","5135"
"Stave St & Armitage Ave","41.9177126527915609","-87.6914171464856417","5119"
"Wentworth Ave & Cermak Rd","41.8531251432877515","-87.6319058675522563","5119"
