"start_station_name","lat","lng","member_casual","total_trips"
"Clark St & Newport St","41.9445237582030687","-87.6547157350489136","casual","9711"
"Sedgwick St & North Ave","41.9113607006540128","-87.6386863065463173","member","9694"
"Mies van der Rohe Way & Chicago Ave","41.8970036765092166","-87.6217730342752409","member","9548"
"900 W Harrison St","41.8747609105356580","-87.6498179856947800","member","9521"
"Burling St & Diversey Pkwy","41.9331201819254202","-87.6477542099107143","member","9520"
"Broadway & Barry Ave","41.9376090223816537","-87.6440969085503892","casual","9506"
"Franklin St & Illinois St","41.8910212814276596","-87.6354619669851064","member","9400"
"Lincoln Ave & Diversey Pkwy","41.9321960098322470","-87.6586860808088471","member","9359"
"Southport Ave & Wellington Ave","41.9357656173923779","-87.6635970725560923","member","9315"
"Michigan Ave & Washington St","41.8839698033311800","-87.6245777115557709","casual","9288"
"DuSable Lake Shore Dr & Diversey Pkwy","41.9325754114281060","-87.6364257966822328","casual","9208"
"New St & Illinois St","41.8908087243827363","-87.6185421134691642","casual","9129"
"Wood St & Milwaukee Ave","41.9076245606460119","-87.6725162921962206","member","9102"
"DuSable Lake Shore Dr & Belmont Ave","41.9407617856247236","-87.6391873491530296","casual","9044"
"LaSalle St & Illinois St","41.8907826875935176","-87.6316981744178044","casual","9009"
"Ogden Ave & Chicago Ave","41.8963642164688760","-87.6540656198969996","member","8932"
"Wabash Ave & 9th St","41.8707480554633161","-87.6257401918398026","member","8914"
"McClurg Ct & Ohio St","41.8926023993443551","-87.6172976014199977","casual","8831"
"Kingsbury St & Kinzie St","41.8891833163243674","-87.6384971734590837","casual","8774"
"Sangamon St & Lake St","41.8858261606170018","-87.6510542304776051","member","8752"
"Milwaukee Ave & Wabansia Ave","41.9126142592059266","-87.6813980029829841","member","8639"
"Clark St & Wrightwood Ave","41.9295608936062310","-87.6431403797165613","casual","8538"
"Honore St & Division St","41.9031163737893874","-87.6738737369649760","member","8537"
"Michigan Ave & Lake St","41.8859958378482645","-87.6244430602673546","casual","8528"
"Sheffield Ave & Fullerton Ave","41.9255992917964854","-87.6537073131916409","casual","8422"
"Wolcott Ave & Polk St","41.8712905736019070","-87.6736910099702026","member","8390"
"Sheffield Ave & Waveland Ave","41.9493043918763428","-87.6544801680997852","casual","8378"
"Field Museum","41.8653223211157568","-87.6179309912244654","casual","8371"
"Larrabee St & Webster Ave","41.9218013849764350","-87.6440939302815710","casual","8275"
"Wells St & Walton St","41.8999373678452035","-87.6344381876695736","member","8256"
"Rhodes Ave & 32nd St","41.8364457504142874","-87.6134857813582797","member","8231"
"Mies van der Rohe Way & Chestnut St","41.8985672945770963","-87.6220589190446635","member","8217"
"Dayton St & North Ave","41.9105877798989284","-87.6494216201717000","member","8212"
"Southport Ave & Belmont Ave","41.9394428124948101","-87.6637647010746123","member","8189"
"Michigan Ave & 14th St","41.8641280294649853","-87.6237454387487757","member","8168"
"Lakeview Ave & Fullerton Pkwy","41.9258731178775260","-87.6389692543294550","casual","8165"
"Montrose Harbor","41.9639556936989670","-87.6381871997860305","member","8132"
"Clark St & Berwyn Ave","41.9779914643969352","-87.6682878910553633","member","8092"
"Larrabee St & Division St","41.9034981663743781","-87.6433474211268657","member","8040"
"Racine Ave & Belmont Ave","41.9396959537143213","-87.6588655254780007","member","8023"
"Wacker Dr & Washington St","41.8831705256371139","-87.6373027766024759","member","7997"
"Sheridan Rd & Buena Ave","41.9584829766503453","-87.6549919701494036","member","7965"
"Carpenter St & Huron St","41.8945561888754869","-87.6534536434991833","member","7959"
"Halsted St & Roscoe St","41.9436727184168135","-87.6489371517631513","casual","7946"
"Wells St & Huron St","41.8947402587949527","-87.6344007797135647","casual","7925"
"DuSable Lake Shore Dr & Wellington Ave","41.9367056823318443","-87.6368384079719209","casual","7835"
"Financial Pl & Ida B Wells Dr","41.8750318462934116","-87.6331179456320225","member","7832"
"Wells St & Evergreen Ave","41.9067096654820585","-87.6349626986693909","casual","7831"
"Broadway & Wilson Ave","41.9651987270085579","-87.6582346102835611","member","7829"
"Broadway & Cornelia Ave","41.9454903688474881","-87.6464504746909932","casual","7783"
"Lincoln Ave & Fullerton Ave","41.9241652050778335","-87.6463764950572495","casual","7773"
"Halsted St & Maxwell St","41.8648829778588023","-87.6470727425258131","member","7748"
"Clark St & Grace St","41.9507989049286085","-87.6591929120054517","member","7704"
"Racine Ave & Congress Pkwy","41.8746517393909091","-87.6570383979337662","member","7700"
"Aberdeen St & Randolph St","41.8841248739224362","-87.6542739519429984","member","7684"
"Greenview Ave & Fullerton Ave","41.9253624024947944","-87.6658143832561166","member","7684"
"Clarendon Ave & Junior Ter","41.9609733934967148","-87.6495614095978975","member","7610"
"Kedzie Ave & Milwaukee Ave","41.9295841248548046","-87.7079096945604541","member","7576"
"Southport Ave & Wrightwood Ave","41.9287771834033281","-87.6638820094941891","member","7572"
"Halsted St & Willow St","41.9138427104403183","-87.6487778778740053","member","7540"
"LaSalle Dr & Huron St","41.8948226565341664","-87.6323260764982717","member","7522"
"Wells St & Hubbard St","41.8899554223296966","-87.6342908931399681","casual","7516"
"Dearborn St & Erie St","41.8940525729117489","-87.6293160653513948","casual","7456"
"Halsted St & Roosevelt Rd","41.8673729197678164","-87.6486400356838008","member","7451"
"Columbus Dr & Randolph St","41.8846471313681089","-87.6195380655829627","casual","7419"
"Clark St & Chicago Ave","41.8967237496031853","-87.6308924678053718","member","7409"
"Franklin St & Adams St (Temp)","41.8792879843703906","-87.6355285970213057","member","7322"
"Stetson Ave & South Water St","41.8867574194157888","-87.6223104165371460","member","7309"
"State St & Chicago Ave","41.8966372892340426","-87.6286245028071380","casual","7285"
"Aberdeen St & Monroe St","41.8804138986529994","-87.6555476543024216","member","7268"
"Desplaines St & Randolph St","41.8842314562833930","-87.6444353769732856","member","7262"
"Clifton Ave & Armitage Ave","41.9182144663750691","-87.6569770516666667","member","7236"
"Ashland Ave & Division St","41.9033637524868530","-87.6678142533517852","casual","7226"
"Woodlawn Ave & 55th St","41.7952864377409972","-87.5964777483545706","member","7220"
"Ellis Ave & 58th St","41.7887562114960411","-87.6013138303958883","member","7199"
"Southport Ave & Roscoe St","41.9437102052787432","-87.6639942114347282","casual","7193"
"Jefferson St & Monroe St","41.8803625932590839","-87.6427607320451065","member","7183"
"Desplaines St & Kinzie St","41.8886572864083624","-87.6444299091470383","casual","7175"
"Cityfront Plaza Dr & Pioneer Ct","41.8905137638926829","-87.6220727325282230","member","7175"
"Paulina St & Flournoy St","41.8730651596452018","-87.6690780814513200","member","7159"
"Lincoln Park Conservatory","41.9239749473809189","-87.6358522337108332","casual","7117"
"Ritchie Ct & Banks St","41.9068472161811024","-87.6261969571048931","member","7112"
"Wells St & Polk St","41.8727702475901917","-87.6336772133244081","member","7096"
"Pine Grove Ave & Waveland Ave","41.9493952942766497","-87.6464520858375635","casual","7092"
"Clark St & Drummond Pl","41.9312493697007340","-87.6442906951383399","casual","7084"
"Halsted St & Wrightwood Ave","41.9291167122170213","-87.6491083757531915","casual","7050"
"Damen Ave & Chicago Ave","41.8956973040430383","-87.6771606959256092","member","7017"
"Ellis Ave & 60th St","41.7851032966747434","-87.6010809963241163","casual","7016"
"Damen Ave & Pierce Ave","41.9094089158894917","-87.6776907320845231","casual","7004"
"Larrabee St & Oak St","41.9002258347522910","-87.6429837400042955","member","6984"
"Field Blvd & South Water St","41.8862954721622009","-87.6175178405215647","member","6979"
"Clark St & North Ave","41.9119657521577360","-87.6319824164775176","member","6961"
"Damen Ave & Cortland St","41.9159814342692750","-87.6773105979617376","member","6952"
"California Ave & Milwaukee Ave","41.9226926553878256","-87.6971434229860412","member","6949"
"Sheffield Ave & Willow St","41.9137165606362059","-87.6528551327067669","member","6916"
"Rush St & Hubbard St","41.8901960980318379","-87.6262329904138929","member","6910"
"Broadway & Waveland Ave","41.9490538848823017","-87.6486252143853531","casual","6882"
"Wabash Ave & Roosevelt Rd","41.8672011876247999","-87.6259713159583758","casual","6871"
"Wabash Ave & Wacker Pl","41.8868567983914757","-87.6260898060531309","member","6851"
"Clark St & Leland Ave","41.9670718881991774","-87.6673635778393067","member","6808"
"Michigan Ave & Jackson Blvd","41.8780962467529412","-87.6241125923000000","casual","6800"
"Sheffield Ave & Wrightwood Ave","41.9286887522963618","-87.6538293558683164","casual","6789"
"Michigan Ave & 8th St","41.8727148888883955","-87.6239875076494967","member","6756"
"Southport Ave & Waveland Ave","41.9480940162895522","-87.6640101480970149","casual","6700"
"Dearborn Pkwy & Delaware Pl","41.8989550413824815","-87.6299096253188602","casual","6633"
"Lakefront Trail & Bryn Mawr Ave","41.9840267588910712","-87.6522948398836682","member","6619"
"University Ave & 57th St","41.7914836972071526","-87.5998835342733748","casual","6599"
"Western Ave & Winnebago Ave","41.9155377264792361","-87.6870055534040618","member","6598"
"Wabash Ave & Adams St","41.8794862445431008","-87.6257392075571124","member","6566"
"Sheffield Ave & Webster Ave","41.9216307447077674","-87.6538040952632382","casual","6553"
"Dearborn St & Adams St","41.8792708324209562","-87.6297401494516572","member","6547"
"Orleans St & Hubbard St","41.8899790126325439","-87.6366473562230710","member","6545"
"Halsted St & Clybourn Ave","41.9096263944381506","-87.6481216206399265","casual","6532"
"State St & Pearson St","41.8974434774456022","-87.6287360784155685","member","6526"
"Elston Ave & Cortland St","41.9164355244243169","-87.6667545035538839","member","6514"
"Fairbanks Ct & Grand Ave","41.8918765751017890","-87.6206057736165947","casual","6484"
"Clinton St & Washington Blvd","41.8833843723792625","-87.6412639034115106","casual","6481"
"Lake Park Ave & 56th St","41.7932510976745626","-87.5877943505635547","member","6459"
"Ogden Ave & Race Ave","41.8917869060397577","-87.6587897504861003","member","6439"
"Clark St & Bryn Mawr Ave","41.9835513470290534","-87.6691641418478600","member","6402"
"State St & Van Buren St","41.8771709179141200","-87.6278837144115342","member","6381"
"State St & Randolph St","41.8846162439219096","-87.6278936793771736","casual","6326"
"St. Clair St & Erie St","41.8943277536073348","-87.6227959187938666","casual","6326"
"Orleans St & Chestnut St (NEXT Apts)","41.8981626392047431","-87.6375393828616601","member","6325"
"Bissell St & Armitage Ave*","41.9183519229887069","-87.6521862740019087","member","6287"
"Wilton Ave & Diversey Pkwy","41.9324252290370133","-87.6526988035603269","casual","6241"
"Clinton St & Madison St","41.8825377658963248","-87.6411818603659124","casual","6231"
"Wabash Ave & 16th St","41.8603864159276603","-87.6258166228483772","member","6193"
"Michigan Ave & 18th St","41.8578323032573921","-87.6245534613588625","member","6189"
"Broadway & Argyle St","41.9737593617703427","-87.6597227370748741","member","6157"
"Stockton Dr & Wrightwood Ave","41.9313170174734954","-87.6387294040711140","casual","6131"
"LaSalle St & Washington St","41.8826856778526903","-87.6325150934760499","member","6096"
"Eckhart Park","41.8963771258968463","-87.6609846097930355","member","6088"
"Shore Dr & 55th St","41.7952300081546053","-87.5807930191430921","member","6080"
"Sheffield Ave & Wellington Ave","41.9362695366677763","-87.6526587492027297","casual","6008"
"Throop St & Taylor St","41.8689042976360912","-87.6591222092591976","member","6007"
"State St & 35th St","41.8310519038917655","-87.6268515816118256","member","5987"
"Dusable Harbor","41.8869610197049950","-87.6128462555346966","member","5966"
"Clark St & Schiller St","41.9079594490796312","-87.6315618002581727","casual","5965"
"Larrabee St & Armitage Ave","41.9180957998741400","-87.6437552531213291","member","5959"
"Morgan St & Lake St*","41.8854978012908112","-87.6523353419286436","member","5942"
"Clark St & Wellington Ave","41.9364954287597425","-87.6475636460691291","casual","5902"
"Clark St & Grace St","41.9508264114099305","-87.6591863311777665","casual","5901"
"Wabash Ave & Wacker Pl","41.8868627607659502","-87.6260741275639713","casual","5862"
"Broadway & Belmont Ave","41.9400988480208690","-87.6454742691173452","casual","5846"
"Sheridan Rd & Irving Park Rd","41.9542259215983536","-87.6544261409963986","casual","5831"
"Clark St & Ida B Wells Dr","41.8759333446876613","-87.6306624964963001","member","5811"
"Damen Ave & Thomas St (Augusta Blvd)","41.9013372166113990","-87.6774220274248705","member","5790"
"Wood St & Taylor St (Temp)","41.8693112747890003","-87.6737153959858181","member","5782"
"Michigan Ave & Madison St","41.8820581300691922","-87.6251525485781007","member","5781"
"Western Ave & Leland Ave","41.9664257880048451","-87.6886994590378958","member","5779"
"Southport Ave & Clybourn Ave","41.9207720591082251","-87.6637260309316017","member","5775"
"Ashland Ave & Blackhawk St","41.9070502366562554","-87.6672273178327260","member","5763"
"Wood St & Chicago Ave","41.8956162073385827","-87.6720931001294838","member","5715"
"Cityfront Plaza Dr & Pioneer Ct","41.8905256011465638","-87.6220725209835203","casual","5704"
"Southport Ave & Irving Park Rd","41.9541524139138083","-87.6643112432225154","member","5685"
"Mies van der Rohe Way & Chestnut St","41.8985721779329806","-87.6220705267813051","casual","5670"
"Orleans St & Merchandise Mart Plaza","41.8880875458161285","-87.6366832056167284","casual","5667"
